# ข้อความระบบ เซฟ/โหลด/เมนู  (313 รายการไม่ซ้ำ)

[0x56588c]	Nutsy
[0x565893]	Guard Patrol
[0x5658ac]	Cyril Band
[0x5658c1]	Sprohmknights
[0x5658d0]	Clan Belmia
[0x5658e7]	Clan Banisa
[0x5658fe]	Gaja Band
[0x565911]	Rangers
[0x56591a]	Clan Marble
[0x565931]	Kudik Beasts
[0x565971]	Clan Clatz
[0x565986]	Clan Dip
[0x565997]	Koring Band
[0x5659ae]	Clan Shalo
[0x5659c3]	Aisen Ghosts
[0x5659dc] x2	Roda Dragons
[0x5659f5]	Antlions
[0x5659ff]	Tribites
[0x565a09]	Tricky Spirits
[0x565a47]	Wild Monsters
[0x565a62]	Gertai Band
[0x565a79]	Ramble Band
[0x565a90]	Zoara Sect
[0x565aa5]	Lost Monsters
[0x565ac0]	Tubola Bandits
[0x565add]	Clan Hounds
[0x565b1d]	Bloodthirsters
[0x565b2d]	Doned Faction
[0x565b48]	Wanted
[0x565b75]	Clan Crow
[0x565ba1]	Yellow Powerz
[0x565bbc]	Blue Geniuses
[0x565bd7]	Brown Rabbits
[0x565bf2]	White Kupos
[0x565c09]	Mythril Team
[0x565c22]	Sprohm Writer
[0x565c3d]	Smugglers
[0x565c48]	Resistance
[0x565c54] x86	dummy
[0x565c5b]	Weapon Biter
[0x565c74]	Poachers
[0x565c7e]	Snow Fairy
[0x565c93]	Mad Weaver
[0x565ca8]	Postman
[0x565cb1]	Clan Baham
[0x565ebe]	Lizard Men!?
[0x565ed7]	Ligrim
[0x565ee0]	Queen Remedi
[0x565ef9]	Llednar
[0x565f02]	Mateus
[0x565f0a]	Exodus
[0x5661f8]	No symbol
[0x56620b]	Surrounded by—
[0x566228]	Pub
[0x56622d]	Shop
[0x566233]	Prison
[0x56623b]	Card Keeper
[0x566252]	Monster Bank
[0x56626b]	Treasure Hunt
[0x566286]	Discard item?
[0x5662a9]	YES NO
[0x5662bc]	Reward
[0x5662c5]	Gil
[0x5662ca]	Clan Pts—
[0x5662dd]	points
[0x5662e5]	Skill Lvl
[0x5662f8]	Clan Level UP!
[0x566315]	Skill Lvl UP Item!
[0x566345]	Clan applicant!
[0x566364]	Accept this person?
[0x56638b]	Deny this person?
[0x5663ae]	Remove this person?
[0x5663de] x2	areas left.
[0x56640e]	Liberate
[0x566418]	Clear
[0x566420]	Freed
[0x566475]	No info available.
[0x5664a7]	masterd
[0x5664b5]	Skill level UP!
[0x5664d4]	Too many items.
[0x5664f3]	Choose item to discard.
[0x566522]	OK
[0x566528]	traded.
[0x566539]	received.
[0x56654c]	Equip Items
[0x566563]	Pick Abilities
[0x566580]	Change Jobs
[0x566597]	No Abilities
[0x5665b0]	Leave Clan
[0x5665c7]	was taken!
[0x5665dc]	hrs
[0x5665e1]	min
[0x5665e6]	No data
[0x5665f5]	Resume Battle
[0x566610]	Load
[0x566616]	Pick slot to save.
[0x56663b]	Pick slot to load.
[0x566677]	Save complete.
[0x566694]	Load complete.
[0x5666b1]	Save failed!
[0x5666ca]	Load failed!
[0x5666e3]	Error in backup memory.
[0x566712]	All areas freed!
[0x566733]	Resume saved battle.
[0x56675c]	Overwriting this slot.
[0x566789]	Checking save data.
[0x5667b0]	Mission Cleared
[0x5667cf]	Dispatched unit returned.
[0x566802]	mastered
[0x56680c]	Place location symbol.
[0x566839]	Select empty slot.
[0x566875]	Auto
[0x56687b]	Manual
[0x566883]	Found
[0x56688d]	is under attack!
[0x566a00]	Arthur
[0x566a08]	Ardin
[0x566a0f]	Isaac
[0x566a16]	Aksel
[0x566a1d]	Azimov
[0x566a25]	Alcest
[0x566a2d]	Alexey
[0x566a35]	Alek
[0x566a3b]	Angell
[0x566a43]	Anton
[0x566a4a]	Anry
